amount,result,time
1023,0,1e-06
1024,5.76214e-42,1e-06
1025,7.38344e-42,1e-06
1026,8.75812e-43,1e-06
1027,0,1e-06
1028,5.94151e-43,1e-06
1029,0,1e-06
1031,0,1e-06
1032,0.0344622,0.000112
1033,3.07683e-41,1e-06
1034,9.01455e-42,1e-06
1035,0,1e-06
1036,0,1e-06
1037,0.0339408,0.0001
1038,3.16273e-42,1e-06
1039,0,1e-06
1040,0.0333194,9.9e-05
1041,3.07683e-41,1e-06
1042,8.96971e-42,1e-06
1043,0,1e-06
1044,0,1e-06
1045,0.0328141,0.0001
1046,3.07305e-42,1e-06
1047,0,1e-06
1048,0.0322128,9.9e-05
1049,3.07683e-41,1e-06
1050,8.92487e-42,1e-06
1051,0,1e-06
1052,0,1e-06
1053,0.0317231,9.9e-05
1054,2.98336e-42,1e-06
1055,0,1e-06
1056,0.031142,9.9e-05
1057,3.07683e-41,1e-06
1059,0,1e-06
1061,0.0306676,0.0001
1062,2.89368e-42,1e-06
1063,0,1e-06
1064,0.0301054,0.0001
1065,3.07683e-41,1e-06
1066,8.83519e-42,1e-06
1067,0,1e-06
1069,0.0296461,0.000108
1070,2.804e-42,1e-06
1071,0,1e-06
1072,0.0291019,0.000102
1073,3.07683e-41,1e-06
1075,0,1e-06
1076,0,1e-06
1077,0.0286571,0.000103
1078,2.71432e-42,1e-06
1080,0.028131,0.000102
1081,3.07683e-41,1e-06
1083,0,1e-06
1084,0,1e-06
1085,0.0277001,0.000103
1086,2.62463e-42,1e-06
1087,0,1e-06
1088,0.0271913,0.000102
1089,3.07683e-41,1e-06
1090,8.70066e-42,1e-06
1091,0,1e-06
1092,0,1e-06
1093,0.0267743,0.000104
1094,2.53495e-42,1e-06
1096,0.0262823,0.000105
1097,3.07683e-41,1e-06
1099,0,1e-06
1100,0,1e-06
1101,0.0258785,0.000105
1102,2.44527e-42,1e-06
1103,0,1e-06
1104,0.0254025,0.000108
1105,3.07683e-41,1e-06
1108,0,1e-06
1109,0.0250115,0.000106
1110,2.35558e-42,1e-06
1111,0,1e-06
1112,0.0245515,0.000106
1113,3.07683e-41,1e-06
1114,8.56614e-42,1e-06
1115,0,1e-06
1116,0,1e-06
1117,0.0241727,0.000107
1118,2.2659e-42,1e-06
1119,0,1e-06
1120,0.0237276,0.000108
1121,3.07683e-41,1e-06
1122,8.5213e-42,1e-06
1123,0,1e-06
1124,0,1e-06
1125,0.0233611,0.00011
1126,2.17622e-42,1e-06
1128,0.022931,0.000108
1129,3.07683e-41,1e-06
1130,8.47645e-42,1e-06
1131,0,1e-06
1132,0,1e-06
1133,0.0225761,0.000108
1134,2.08653e-42,1e-06
1135,0,1e-06
1136,0.02216,0.000109
1137,3.07683e-41,1e-06
1138,8.43161e-42,1e-06
1139,0,1e-06
1140,0,1e-06
1141,0.0218166,0.000109
1142,1.99685e-42,1e-06
1143,0,1e-06
1144,0.0214141,0.000109
1145,3.07683e-41,1e-06
1146,8.38677e-42,1e-06
1147,0,1e-06
1148,0,1e-06
1149,0.0210817,0.00011
1151,0,1e-06
1152,0.0206928,0.000112
1153,3.07683e-41,1e-06
1154,8.34193e-42,1e-06
1156,0,1e-06
1157,0.020371,0.000112
1158,1.81748e-42,1e-06
1159,0,1e-06
1160,0.019995,0.000128
1161,3.07683e-41,2e-06
1162,8.29709e-42,1e-06
1163,0,1e-06
1164,0,1e-06
1165,0.0196836,0.000123
1166,1.7278e-42,1e-06
1167,0,1e-06
1168,0.0193202,0.000119
1169,3.07683e-41,1e-06
1170,3.78028e-41,2e-06
1171,0,1e-06
1172,3.53127e-43,1e-06
1173,0.0190187,0.000116
1174,3.11887e-41,1e-06
1175,7.38344e-42,1e-06
1176,0.0186675,0.000158
1177,0.0186946,0.000155
1178,3.7758e-41,1e-06
1179,0,2e-06
1180,3.62936e-43,1e-06
1181,0.0183757,0.00015
1182,3.1099e-41,1e-06
1183,7.38344e-42,1e-06
1184,0.0180363,0.000113
1185,0.0180622,0.000116
1186,3.77131e-41,1e-06
1187,0,1e-06
1188,3.72745e-43,1e-06
1189,0.0177538,0.000116
1190,3.10093e-41,1e-06
1191,7.38344e-42,1e-06
1192,0.0174256,0.000113
1193,0.0174506,0.000113
1194,3.76683e-41,1e-06
1195,0,1e-06
1196,3.81153e-43,1e-06
1197,0.0171524,0.000114
1198,3.09197e-41,1e-06
1199,7.38344e-42,1e-06
1200,0.0168352,0.000114
1201,0.0168592,0.000114
1202,3.76235e-41,1e-06
1203,0,1e-06
1204,3.90962e-43,1e-06
1205,0.0165709,0.000114
1206,3.083e-41,1e-06
1207,7.38344e-42,1e-06
1208,0.0162641,0.000115
1209,0.0162872,0.000116
