amount,result,time
115700,0,1e-06
115800,16543,0.01453
115900,0,0
116000,16572,0.014738
116100,0,1e-06
116200,0,1e-06
116300,16615,0.015146
116400,0,1e-06
116500,0,0
116600,16658,0.014355
116700,0,1e-06
116800,0,1e-06
116900,0,1e-06
117000,0,1e-06
117100,0,0
117200,0,1e-06
117300,16758,0.014327
117400,0,0
117500,0,0
117600,16800,0.01453
117700,0,2e-05
117800,0,1e-06
117900,0,1e-06
118000,0,2e-06
118100,0,1e-06
118200,0,1e-06
118300,16900,0.015028
118400,0,1e-06
118500,0,1e-06
118600,16943,0.015447
118700,0,1e-06
118800,0,1e-06
118900,0,1e-06
119000,0,1e-06
119100,0,1e-06
119200,0,1e-06
119300,17043,0.016102
119400,0,1e-06
119500,0,1e-06
119600,17086,0.015725
119700,0,1e-06
119800,0,1e-06
119900,17129,0.015265
120000,0,0
120100,17158,0.014664
120200,0,1e-06
120300,0,1e-06
120400,17200,0.015152
120500,0,1e-06
120600,0,1e-06
120700,17243,0.015155
120800,0,1e-06
120900,0,1e-06
121000,0,1e-06
121100,0,1e-06
121200,0,1e-06
121300,0,1e-06
121400,17343,0.016209
121500,0,1e-06
121600,0,1e-06
121700,17386,0.01533
121800,0,0
121900,0,0
122000,0,1e-06
122100,0,1e-06
122200,0,1e-06
122300,0,0
122400,17486,0.015487
122500,0,0
122600,0,1e-06
122700,17529,0.015436
122800,0,1e-06
122900,0,1e-06
123000,0,1e-06
123100,0,1e-06
123200,0,1e-06
123300,0,0
123400,17629,0.017141
123500,0,1e-06
123600,0,1e-06
123700,17672,0.015871
123800,0,0
123900,0,3e-06
124000,0,1e-06
124100,0,0
124200,0,1e-06
124300,0,0
124400,17772,0.016433
124500,0,1e-06
124600,0,0
124700,17815,0.015644
124800,0,0
124900,0,0
125000,17858,0.016896
125100,0,1e-06
125200,17886,0.017104
125300,0,1e-06
125400,0,1e-06
125500,17929,0.015806
125600,0,0
125700,0,1e-06
125800,17972,0.014809
